,immune_evasion
0,0.0
1,0.0004813522087221842
2,0.0009627044174443685
3,0.0014440566261665526
4,0.001925408834888737
5,0.002406761043610921
6,0.0028881132523331052
7,0.0033694654610552897
8,0.003850817669777474
9,0.004332169878499658
10,0.004813522087221842
11,0.005294874295944027
12,0.0057762265046662105
13,0.006257578713388394
14,0.0067389309221105795
15,0.007220283130832763
16,0.007701635339554948
17,0.008182987548277131
18,0.008664339756999316
19,0.0091456919657215
20,0.009627044174443685
21,0.010108396383165867
22,0.010589748591888054
23,0.011071100800610236
24,0.011071100800610236
25,0.010589748591888054
26,0.010108396383165867
27,0.009627044174443685
28,0.0091456919657215
29,0.008664339756999316
30,0.008182987548277131
31,0.007701635339554948
32,0.007220283130832763
33,0.0067389309221105795
34,0.006257578713388394
35,0.0057762265046662105
36,0.005294874295944027
37,0.004813522087221842
38,0.004332169878499658
39,0.003850817669777474
40,0.0033694654610552897
41,0.0028881132523331052
42,0.002406761043610921
43,0.001925408834888737
44,0.0014440566261665526
45,0.0009627044174443685
46,0.0004813522087221842
47,0.0
