vaccine_time,vaccine_amount,12-15,16-49,50-64,65-79
2022-02-12,0.7872602517345257,168380.43512705617,990245.0069310243,330175.2652334956,218228.2927084238
2022-02-13,0.7875434207929103,168440.99976138168,990601.1874260574,330294.0257307416,218306.78708181935
2022-02-14,0.7877587953047434,168487.06439367807,990872.0934377519,330384.35334021045,218366.48882835952
2022-02-15,0.7880341241774723,168545.9521570206,991218.4122578409,330499.8256803666,218442.8099047718
2022-02-16,0.7883491151658707,168613.3229147475,991614.6195511757,330631.93222697737,218530.1253070994
2022-02-17,0.7886424303468683,168676.05761740392,991983.5622137833,330754.94798633974,218611.43218247328
2022-02-18,0.7888914715382813,168729.32293098007,992296.8154178838,330859.39532919455,218680.46632194158
2022-02-21,0.7896893257255861,168899.96921336293,993300.3858680581,331194.0136683406,218901.6312502384
2022-02-22,0.7899185358591645,168948.99302974695,993588.6948355358,331290.143907968,218965.16822674908
2022-02-23,0.7903534355693542,169042.01004956604,994135.7277456596,331472.53991595336,219085.72228882075
2022-02-24,0.7903534355693542,169042.01004956604,994135.7277456596,331472.53991595336,219085.72228882075
2022-02-25,0.7907625087856198,169129.5032590884,994650.2751383216,331644.10434764257,219199.1172549475
2022-02-26,0.7909432942430901,169168.1699311659,994877.6737605575,331719.925381715,219249.23092656152
2022-02-27,0.7911328422609988,169208.71075316556,995116.0942547895,331799.42141488777,219301.7735771569
2022-02-28,0.7912518286080072,169234.15973631863,995265.7596745266,331849.3240342518,219334.75655490282
2022-03-01,0.7914270798167795,169271.64273476106,995486.1971144495,331922.8240162607,219383.33613452877
2022-03-03,0.7918047922904226,169352.4284603516,995961.2978073353,332081.2358195905,219488.03791272253
2022-03-04,0.791965746690058,169386.85363523694,996163.7521929485,332148.7397504355,219532.6544213789
2022-03-05,0.792123472777953,169420.58833383516,996362.145888879,332214.8897342436,219576.3760430422
2022-03-06,0.7923379249150032,169466.45568719244,996631.8917035211,332304.8305017019,219635.82210758442
2022-03-07,0.7924310847680873,169486.3808600487,996749.071605796,332343.9015447698,219661.64598938552
2022-03-08,0.7926146373499066,169525.63936894375,996979.9508191888,332420.8831048738,219712.52670699367
2022-03-09,0.792803724180424,169566.08155147376,997217.7912148947,332500.1857170415,219764.94151659004
2022-03-10,0.7929762082648473,169602.97271309874,997434.748063661,332572.5251730186,219812.75405022188
2022-03-11,0.7931473087870955,169639.567956315,997649.9646168483,332644.2843659799,219860.1830608566
2022-03-12,0.7933506924267496,169683.06796240216,997905.7880668641,332729.5830293114,219916.56094142247
2022-03-13,0.793466911649409,169707.92510873775,998051.9728954443,332778.3251226436,219948.7768731743
2022-03-14,0.7935402404446585,169723.60878440185,998144.2085610963,332809.0790624842,219969.1035920178
2022-03-15,0.793691048721681,169755.8638909563,998333.9007791348,332872.32773121295,220010.90759869586
2022-03-16,0.7938413958113117,169788.02035804113,998523.0128986477,332935.3829789363,220052.58376437493
2022-03-18,0.794289669955855,169883.89792247824,999086.8686660286,333123.38819607504,220176.84521541794
2022-03-19,0.7944257202363494,169912.99656600595,999257.9977312321,333180.4473926347,220214.55831012756
2022-03-20,0.7945663823907585,169943.08160422955,999434.9277816962,333239.44079924707,220253.54981482727
2022-03-21,0.7946120399425177,169952.84691171852,999492.3575357813,333258.58947877045,220266.20607372982
2022-03-22,0.7947411724121392,169980.46596320244,999654.7851230927,333312.7473602507,220302.00155345415
2022-03-23,0.7949007432496001,170014.59521967906,999855.4992131275,333379.6710280799,220346.23453911353
2022-03-24,0.795051090339231,170046.7516867639,1000044.6113326403,333442.72627580335,220387.9107047926
2022-03-25,0.7952097388019089,170080.6836643013,1000244.165225623,333509.263101622,220431.8880084539
2022-03-26,0.7953176566515214,170103.7653001843,1000379.9082807333,333554.5236168591,220461.8028022235
2022-03-27,0.7954546293067984,170133.0612226512,1000552.1975429885,333611.9696554292,220499.7715789311
2022-03-28,0.79554087134901,170151.50680346368,1000660.6759673716,333648.1393834177,220523.67784574704
2022-03-29,0.7956427937625328,170173.3061262421,1000788.8777416422,333690.88542558614,220551.9307065295
